facility_id,facility_name,organization_type,specialties,procedures,equipment,capabilities,address_line1,address_line2,address_line3,city,state,country,country_code,phone_numbers,email,websites,officialWebsite,year_established,accepts_volunteers,number_doctors,capacity,description,mission_statement,affiliation_types,operator_type,facility_type,created_at,updated_at
07629c3c-cdae-4f1c-b585-dbd634fdd60f,Acres Medical Centre,facility,"[""internalMedicine"",""pediatrics"",""familyMedicine""]","[""Offers pediatric consultations""]",null,"[""Identified as a primary hospital"",""Located at 82 Lakeside Estate, Community 1, Ashaley Botwe, Accra, Ghana"",""Has contact numbers +233 50 989 9878 and 0509899878 (WhatsApp only)"",""Email acresmedicalcentre@gmail.com"",""Offers pediatric consultations""]",82 Lakeside Estate Community 1,Lakeview street,null,Accra,Greater Accra Region,Ghana,null,"[""+233509899878""]",acresmedicalcentre@gmail.com,null,null,null,null,null,null,Acres Medical Centre is in Lakeside Estate.,null,null,null,null,2026-03-23T18:11:27.491Z,2026-03-23T18:11:27.491Z
86342b7f-6a91-4502-85a3-a08ae0a33341,Adabraka Polyclinic (Ridge Hospital OPD),facility,"[""internalMedicine"",""familyMedicine""]",null,null,"[""Offers outpatient services""]",null,null,null,Accra,Greater Accra Region,Ghana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-03-23T18:11:30.689Z,2026-03-23T18:11:30.689Z
78e8535a-039f-4950-a241-433b946f166b,Achimota Hospital,facility,"[""internalMedicine""]",null,null,"[""Provides internal medicine services"",""Organization name: ACHIMOTA HOSPITAL"",""Organization abbreviation: ACHS"",""City: ACCRA"",""Country: Ghana"",""Street address: GA-297-6410"",""Phone number: 0206945455"",""Email: achimota.dhgar@ghs.gov.gh"",""Last updated: 17 April 2025""]",GA-297-6410,null,null,ACCRA,Greater Accra Region,Ghana,null,"[""+233206945455""]",achimota.dhgar@ghs.gov.gh,null,null,null,null,null,null,null,null,null,null,null,2026-03-23T18:11:34.173Z,2026-03-23T18:11:34.173Z
7d362eaa-8130-410a-bf23-7be549177af0,"109/No 1 Bekwai Rd (Near Mexico Hotel) Takoradi, Ghana",facility,"[""infectiousDiseases"",""hospiceAndPalliativeInternalMedicine"",""familyMedicine"",""maternalFetalMedicineOrPerinatology"",""publicHealth"",""socialAndBehavioralSciences"",""globalHealthAndInternationalHealth""]","[""Provides HIV testing and counseling"",""Offers behavior change communication services"",""Conducts community outreach programs"",""Delivers stigma reduction services"",""Provides hospice and home-based care""]",null,"[""Specializes in infectious diseases, including HIV and AIDS"",""Offers maternal and fetal medicine services"",""Provides public health services"",""Has expertise in social and behavioral sciences"",""Offers hospice and palliative internal medicine services"",""Focuses on global health and international health initiatives"",""Delivers prevention, behavioral, care, and support services for vulnerable populations"",""Has a location at 109/No 1 Bekwai Rd (Near Mexico Hotel) Takoradi, Ghana"",""Specialties include HIV, AIDS, PMTCT, Behavior Change Communication, HIV Testing and Counseling, Community Outreach, Stigma Reduction, Hospice / Home Based Care, global health, and public health""]",109/No 1 Bekwai Rd (Near Mexico Hotel),null,null,Takoradi,Western Region,Ghana,null,"[""+233249354576"",""+233203928883""]",null,"[""waafweb.org""]",null,null,null,null,null,"WAAF is committed to battling HIV/AIDS, TB, and other conditions through grassroot initiatives throughout communities. The main objectives for WAAF are to deliver prevention, behavioral, care and support services for the general population but with emphasis on vulnerable populations. Our ultimate goal is a future where HIV and AIDS is no longer an epidemic, and people are no longer stigmatized. The organization’s vision and mission guide for daily and long-term operations, as detailed in the organization’s strategic plan document.",null,null,null,null,2026-03-23T15:38:34.756Z,2026-03-23T15:38:34.756Z
97d11408-8303-44c3-83c2-72cb91c58fb1,1st Foundation Clinic,facility,"[""familyMedicine"",""internalMedicine""]",null,null,"[""Offers internal medicine services"",""Provides outpatient services""]","Opp. Standard Chartered Bank, Dansoman",null,null,Accra,Greater Accra Region,Ghana,null,null,null,null,null,null,null,null,null,null,null,null,null,clinic,2026-03-23T15:38:38.208Z,2026-03-23T15:38:38.208Z
4c17951e-87e0-4472-8cf4-189cea9782b8,1st Foundation Clinic,facility,"[""familyMedicine"",""internalMedicine""]",null,null,"[""Offers internal medicine services""]",Opp. Standard Chartered Bank,Dansoman,null,Accra,Greater Accra Region,Ghana,null,null,null,null,null,null,null,null,null,null,null,null,null,clinic,2026-03-23T15:38:38.587Z,2026-03-23T15:38:38.587Z
3fef3d66-36d4-4c8c-b132-209d75eb28c5,37 Military Hospital,facility,"[""internalMedicine""]",null,null,"[""Provides internal medicine services"",""Offers inpatient services"",""Located at Liberation Rd. 37, Accra, Ghana""]",Liberation Rd. 37,null,null,Accra,Greater Accra Region,Ghana,null,null,null,null,null,null,null,null,null,null,null,null,null,hospital,2026-03-23T15:38:46.021Z,2026-03-23T15:38:46.021Z
8944be75-1ef2-49f7-84a9-763dc4000c7b,2BN Military Hospital,facility,"[""internalMedicine"",""dentistry"",""emergencyMedicine""]",null,null,"[""Provides internal medicine services"",""Offers dentistry services"",""Provides emergency medicine services""]",null,null,null,Apremdo,Western Region,Ghana,null,null,null,null,null,null,null,null,null,"2BN Military Hospital is a quasi-government hospital in Western, Apremdo Ghana.",null,null,null,hospital,2026-03-23T15:38:49.194Z,2026-03-23T15:38:49.194Z
9d70e24f-247c-41af-b708-cc10e99e54b1,1st Foundation Clinic,facility,"[""familyMedicine"",""internalMedicine""]",null,null,"[""Offers internal medicine services"",""Provides outpatient services"",""Located in Dansoman, Accra, Ghana, opposite Standard Chartered Bank"",""Listed as a related place on GhanaBusinessWeb's Iran Clinic page""]",Opp. Standard Chartered Bank,null,null,Dansoman,Greater Accra Region,Ghana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-03-23T15:38:49.295Z,2026-03-23T15:38:49.295Z
f9d8de8a-10e1-4101-afad-6c0917fc0233,37 Military Hospital,facility,"[""internalMedicine""]",null,null,"[""Provides inpatient services"",""Provides outpatient services""]",Liberation Rd. 37,null,null,Accra,Greater Accra Region,Ghana,null,null,null,null,null,null,null,null,null,null,null,null,null,hospital,2026-03-23T15:38:55.820Z,2026-03-23T15:38:55.820Z
80296656-a224-42d4-93cf-af30b3cbf514,Abomosu Health Centre,facility,"[""internalMedicine""]",null,null,"[""Offers internal medicine services"",""Provides 24/7 services as indicated by 'Always open' status"",""Located in Abomosu, Ghana"",""Is categorized as a hospital on Facebook"",""Is an unofficial page for Abomosu Health Centre"",""Page created on April 21, 2019"",""Has 35 likes, 35 followers, and 2,118 check-ins"",""Page shows 'Always open' status""]",null,null,null,Abomosu,Eastern Region,Ghana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-03-23T15:39:13.490Z,2026-03-23T15:39:13.490Z
9b5bcd5b-ffa8-45c0-8d89-29513c7440b6,A & A Medlove Medical Centre,facility,"[""internalMedicine""]",null,null,"[""Offers 24-hour medical services"",""Located at Parakuo Estates on the Abokobi road, Accra, Ghana."",""Offers 24-hour medical services (Always open)."",""Contact number: +233 55 442 0306.""]","Parakuo Estates, on the Abokobi road",null,null,Accra,Greater Accra Region,Ghana,null,"[""+233554420306""]",null,null,null,null,null,null,null,"A & A Medlove Medical Centre is located at Parakuo Estates, on the Abokobi road, Accra, Ghana. It provides 24-hour service.",null,null,null,null,2026-03-23T15:39:13.770Z,2026-03-23T15:39:13.770Z
d9051330-1480-4c71-a0ba-365d0d586e40,3Way Family Care Clinic,facility,"[""familyMedicine"",""internalMedicine""]",null,null,"[""Offers internal medicine services""]","Behind Cuzi Soap Training Centre, Krofrom Light Industrial Area","Acherensua, Asutifi South","Acherensua, Ghana",Acherensua,Bono East Region,Ghana,null,"[""+233551236606""]",null,null,null,null,null,null,null,null,null,null,null,clinic,2026-03-23T15:39:14.167Z,2026-03-23T15:39:14.167Z
438f3e65-d688-4db6-bc9f-0d2f6edbafe6,"3E Medical Center - Accra, Ghana",facility,"[""internalMedicine""]",null,null,"[""Provides internal medicine services"",""Has specialized medical and nursing staff"",""Offers patient treatment"",""Located in Accra, Ghana"",""Always open"",""Phone: +233 53 438 2738"",""Email: 3emedicalcenter@gmail.com"",""Website: http://www.3emedicalcenter.org""]",null,null,null,Accra,Greater Accra Region,Ghana,null,"[""+233534382738""]",3emedicalcenter@gmail.com,"[""3emedicalcenter.org""]",null,null,null,null,null,A health care institution providing patient treatment with specialized medical and nursing staff.,null,null,null,null,2026-03-23T15:39:17.422Z,2026-03-23T15:39:17.422Z
c1abd8e0-c2fa-40d3-9a27-5b6a32bc429f,Aboraa Hospital,facility,"[""internalMedicine""]",null,null,"[""Offers internal medicine services""]",Ring Road Central,null,null,Accra,Greater Accra Region,Ghana,null,null,null,null,null,null,null,null,null,null,null,null,null,hospital,2026-03-23T15:39:22.270Z,2026-03-23T15:39:22.270Z
77a63893-e9b0-4aa7-89cf-daea0bdc3938,A&A Medlove Medical Centre,facility,"[""gynecologyAndObstetrics"",""pediatrics"",""ophthalmology"",""radiology"",""cardiology"",""internalMedicine"",""pathology"",""diagnosticRadiology""]","[""Provides general medical consultations"",""Provides specialist consultations"",""Offers obstetrics and gynecology services"",""Offers pediatrics consultations"",""Offers eye care services"",""Performs ultrasound scans"",""Performs electrocardiograms (ECG)"",""Provides outpatient and inpatient care"",""Has an on-site pharmacy"",""Provides laboratory services""]","[""Has an on-site pharmacy"",""Has laboratory equipment for laboratory services""]","[""Open 24 hours a day, 7 days a week"",""Provides outpatient and inpatient care"",""Has a team of 11-15 employees"",""Established in June 2016"",""Has 11-15 employees"",""Located on Ashongman-Abokobi road, Accra, Ghana"",""Managed by Dr. Anthony Twum-Barimah""]",Ashongman-Abokobi road,null,null,Accra,Greater Accra Region,Ghana,null,"[""+233554420306"",""+23330968030"",""+233543738972""]",null,null,null,2016,null,null,null,A&A MEDLOVE MEDICAL CENTRE IS A MEDICAL FACILITY ESTABLISHED IN JUNE 2016 TO SERVE OUR COMMUNITY OUR SERVICES INCLUDE: 1. GENERALLY CONSULTATION 2. SPECIALIST CONSULTATION OBSTETRICS AND GYNECOLOGY 3. PEDIATRICS 4. EYE CARE 5. OUT PATIENT & IN PATIENT 6. PHARMACY 7. LABORATORY 8. ULTRASOUND SCAN 9. ELECTROCARDIOGRAM( ECG),null,null,null,null,2026-03-23T15:39:23.192Z,2026-03-23T15:39:23.192Z
a6ec226d-a88e-4366-b390-5c709ef54e92,1st Foundation Clinic,facility,"[""familyMedicine"",""internalMedicine""]",null,null,"[""Offers internal medicine services""]",Opp. Standard Chartered Bank,Dansoman,null,Accra,Greater Accra Region,Ghana,null,null,null,null,null,null,null,null,null,null,null,null,null,clinic,2026-03-23T15:39:25.092Z,2026-03-23T15:39:25.092Z
f5f50673-aaa4-440c-9073-6736277a2278,Abuakwa Maternity Home,facility,"[""gynecologyAndObstetrics"",""internalMedicine"",""obstetricsAndMaternityCare""]",null,null,"[""Provides obstetrics and maternity care"",""Offers gynecology services"",""Provides internal medicine services"",""Operates as a private maternity home"",""Offers maternity services"",""Abuakwa Maternity Home is a private maternity home located in Ashanti, Abuakwa, Ghana."",""Listed in categories: Doctors and Clinics; Hospitals; Pregnancy and Child Birth; Maternity Services; Maternity Homes."",""Registered with GhanaYello on 12 Apr 2018""]",null,null,null,Abuakwa,Ashanti Region,Ghana,null,null,null,null,null,null,null,null,null,"Abuakwa Maternity Home is a private maternity home in Ashanti, Abuakwa Ghana.",null,null,null,null,2026-03-23T15:39:33.943Z,2026-03-23T15:39:33.943Z
